facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code
A  & S FINISHING LLC,20540 W SUPERIOR STREET,CHATSWORTH,CA,91311,CWA,No,,
A  A STEPPING STONE MANUFACTURING INC,10291 OPHIR RD,NEWCASTLE,CA,95658,CWA,No,03/01/2024,
A  B SANDBLAST CO,2447 E 54TH ST,LOS ANGELES,CA,90058,CWA,No,,
A  D PLATING INC,2265 MICRO PL  A,ESCONDIDO,CA,92029,CWA,No,,
A  M MARBLE INC,909 ARLEE PL,ANAHEIM,CA,92805,CWA,No,,
A  M REINFORCING SPECIALISTS INC,10520 KENNEY ST,SANTEE,CA,92071,CWA,No,09/20/2022,
A  M WELDING INC,16935 S BROADWAY ST,CARSON,CA,90248,CWA,No,,
A  S METALS RECYCLING INC,2261 E 15TH ST,LOS ANGELES,CA,90021,CWA,No,,
A & A INC,"12031 PHILADELPHIA STREET, BLDG 2",WHITTIER,CA,90601,CWA,Yes,08/21/2019,
"A & A MACHINING,INC",1251  ALMA CT,SAN JOSE,CA,94301,CWA,No,,
A & A READY MIXED CONCRETE INC DBA A & A CONCRETE SUPPLY,212 RAILROAD STREET,COLFAX,CA,95828,CWA,No,,
A & A READY MIXED CONCRETE INC DBA A & A CONCRETE SUPPLY,8272 BERRY AVE,SACRAMENTO,CA,95828,CWA,No,10/17/2017,
"A & G MACHINE SHOP, INC.",1352 BURTON  AVENUE,SALINAS,CA,93901,CWA,No,,
A & I FINISHING INC,5981 MAYWOOD AVENUE #A,HUNTINGTON PARK,CA,90255,CWA,No,03/06/2018,
A & I PALLETS LLC,9405 S ALAMEDA STREET,LOS ANGELES,CA,90002,CWA,No,,
A & L MANUFACTURING CO INC,7623 BALDWIN PLACE,WHITTIER,CA,90602,CWA,No,09/13/2019,
A & M MARBLE INC,909 ARLEE PL,ANAHEIM,CA,92805,CWA,No,,
A & S METALS RECYCLING INC,2261 15TH,LOS ANGELES,CA,90021,CWA,No,01/25/2010,
A & Z GRINDING INC,1543 NADEAU STREET,LOS ANGELES,CA,90001,CWA,No,01/03/2018,
A & Z GRINDING INC,1543 NADEAU ST,LOS ANGELES,CA,90001,CWA,No,,
A &S AUTO WRECKING INC,895 SHERIDAN ROAD UNIT F,ARROYO GRANDE,CA,93420,CWA,No,03/06/2019,111998
A 1 BUDGET AUTO DISMANTLING INC,42234 4TH ST E,LANCASTER,CA,93534,CWA,No,,
A 1 GRIT COMPANY,10338 POPLAR AVE,FONTANA,CA,92355,CWA,No,,
A 1 HESPERIA RECYCLING COMPANY INC,16666 SPRUCE STREET,HESPERIA,CA,92345,CWA,No,,
