facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code
#22A-OAKHURST FACILITY,HWY 41/OAKHURST,OAKHURST,CA,93644,CWA,No,06/16/2004,
(OLD JACOBS DAIRY),DAIRY RD,ELK GROVE,CA,95624,CWA,No,12/09/2002,
(UNKNOWN),101SLEEPY HOLLOW,SAN ANSELMO,CA,94960,CWA,No,,
-,EAST OF NUEVO RD AND MONTGOMERY AVE,NUEVO,CA,92567,CWA,No,,
0120T4 04 SF 80 YBITS 2 SAN FRANCISCO BAY BRIDGE DISMANTLING,ROUTE 80 NEAR THE EAST END OF THE YERBA,OAKLAND,CA,94607,CWA,No,,
02 378904 ANTLERS BRIDGE REPLACEMENT PROJECT,SHASTA COUNTY INTERSTATE 5 PM 39 TO 41,LAKEHEAD,CA,96051,CWA,No,04/26/2018,
0221 CUBESMART,900 ORLANDO AVENUE,ROSEVILLE,CA,95661,CWA,No,09/03/2020,
06 442544TEMPORARY CRUSHER PLANT,NB 5 FREEWAY AT WB HIGHWAY 46,LOST HILLS,CA,91342,CWA,No,,
06342534 TEMPORARY BATCH PLANT,E HWY 180,CENTERVILLE,CA,93657,CWA,No,,
0702 TRABUCO CANYON DODGE RESIDENCE,19342 LIVE OAK CANYON RD,TRABUCO CANYON,CA,92679,CWA,No,,
08 0J0801 TEMPORARY BATCH PLANT,HIDDEN VALLEY OFF RAMP NB I15,NORCO,CA,92860,CWA,No,,
08 1F1414 TEMPORARY BATCH PLANT & CRUSHER PLANT,RAINBOW VALLEY ON RAMP NORTHBOUND I 15,FALLBROOK,CA,92028,CWA,No,,
0A5344 D04 SOL I 80 I 680 SR 12 INTERCHANGE PROJECT,INTERCHANGES BETWEEN INTERSTATE 80 INTERSTATE 680,FAIRFIELD,CA,94534,CWA,No,,
0B0904 HUNTER AND PANTHER BRIDGE REPLACEMENTS,DN 101 PM 8.2 TO 8.7,KLAMATH,CA,95548,CWA,No,,
0F2404 EHLERS LEFT TURN POCKET,ROUTE 101 FROM 0.2 MILE SOUTH,KLAMATH,CA,95548,CWA,No,,
0F96E4 OR 5 CONST HOV LANE,CAMINO DE ESTRELLA TO SAN JUAN CREEK ROAD,SAN CLEMENTE,CA,92673,CWA,No,,
0G8004 ROADWAY REHABILITATION,SAN JOAQUIN COUNTY NEAR TERMINOUS FROM MOKELUMNE R,LODI,CA,95242,CWA,No,,
0S01104   SJ4 EXTEND FREEWAY,BETWEEN GARFIELD ST OH AND NAVY DR AND,STOCKTON,CA,95205,CWA,No,,
1 AND 2MG WATER TANK,PAUMA VALLEY,PAUMA VALLEY,CA,92061,CWA,No,,
1 CHANNEL ISLAND,SEC OF PUEBLA ST AND SAXONY ROAD,ENCINITAS,CA,92024,CWA,No,,
1 DIVING SYSTEMS,1652 WEST ORANGE GROVE AVENUE,POMONA,CA,91767,CWA,No,,
1 STOP AUTO WRECKERS,811 ENERGY WAY,CHULA VISTA,CA,91911,CWA,Yes,,
10 CENT COLOR COPIES COM,2211 E WINSTON RD,ANAHEIM,CA,92806,CWA,No,,
100 & 200 CARIBBEAN DRIVE,100 CARIBBEAN,SUNNYVALE,CA,94089,CWA,No,,
100 FIRST STREET,100 FIRST STREET,LOS ALTOS,CA,94022,CWA,No,,
100 MOFFETT BOULEVARD,100 MOFFETT BOULEVARD,MOUNTAIN VIEW,CA,94043,CWA,No,,
100 N. CRESCENT (DEWATERING),100 NORTH CRESCENT,BEVERLY HILLS,CA,90210,CWA,No,04/15/2025,
1000 COUNTRY CLUB DRIVE,1000 COUNTRY CLUB DRIVE,MILPITAS,CA,95035,CWA,No,,
1000 FREMONT,1000 FREMONT AVENUE,ALHAMBRA,CA,91803,CWA,No,,
101 FWY/SEAWARD CONSTRUCTION,800SEAWARD,VENTURA,CA,00000,CWA,No,,
