facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code
"A&M HAUCK INVESTMENTS, LLC",695 32ND AVE. E,UNKNOWN,ND,58000,CWA,No,06/13/2019,
AARGH LLC,4280 24TH AVE NORTH,UNKNOWN,ND,58000,CWA,No,11/15/2023,
ABF FREIGHT SYSTEM INC,401 43RD STREET N,FARGO,ND,58102,CWA,No,11/15/2023,
"ABF FREIGHT SYSTEM, INC.",2983 43RD ST N,FARGO,ND,58102,CWA,No,11/15/2023,
ABRASIVES INC-GLEN ULLIN,4090 HWY 49,GLEN ULLIN,ND,58631,CWA,No,,
ABRAXAS PETROLEUM CORPORATION,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ABRAXAS PETROLEUM CORPORATION,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ABRAXAS PETROLEUM CORPORATION,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ABU TRAILERS INC,606 MILLER ST,DWIGHT,ND,58075,CWA,No,07/16/2024,336212
ABU TRAILERS INC,606 MILLER ST,DWIGHT,ND,58075,CWA,No,01/27/2026,336212
ACCRETE LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,04/23/2019,
ADAMS CO BRJ 0001(054) PCN 23700,"SITE 1, 5 MILES EAST AND 6 MILES NORTH OF HETTINGE",HETTINGER,ND,58639,CWA,No,,
ADIO PROPERTIES LLC,1515 24TH AVE SW,UNKNOWN,ND,58000,CWA,No,10/23/2024,
ADM GRAIN COMPANY,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ADVANCED DISPOSAL, LLC",3964 129TH AVENUE NORTHWEST,UNKNOWN,ND,58000,CWA,No,,
AG HOMES LLC,S 20TH ST AND 69TH AVE S,GRAND FORKS,ND,58201,CWA,No,,
AGGREGATE CONSTRUCTION INC-PORTABLE LOCATIONS STATEWIDE,4100 HWY 52 S,MINOT,ND,58701,CWA,No,07/18/2023,
AIC ENERGY CORP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,Yes,,
"AIRGAS USA, LLC",6796 101ST AVE. NW,TIOGA,ND,58852,CWA,No,,325120
ALDEVRON LLC,4044 40TH AVE SOUTH,UNKNOWN,ND,58000,CWA,No,,
"ALDEVRON, LLC",4055 41ST AVE S,FARGO,ND,58104,CWA,No,,325414
"ALDI, INC.",4303 13TH AVE SOUTH,UNKNOWN,ND,58000,CWA,No,07/21/2020,
"ALDI, INC.",3760 51ST AVENUE SOUTH,UNKNOWN,ND,58000,CWA,No,,
ALLIANCE PIPELINE LP,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ALLIED BUILDING LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ALTENDORF TRUCKING INC-MINTO,COUNTY RD 15,MINTO,ND,58261,CWA,No,,
AMAZON.COM SERVICES LLC,1300 YEGEN ROAD,UNKNOWN,ND,58000,CWA,No,,
AMAZON.COM SERVICES LLC - FAR1,3737 44TH AVE N,FARGO,ND,58102,CWA,No,,493110
AMAZON.COM SERVICES LLC - WND1,700 MAIN AVE E,WEST FARGO,ND,58078,CWA,No,,493110
AMAZON.COM SERVICES LLC - WND1,700 MAIN AVE E,WEST FARGO,ND,58078,CWA,No,,493110
AMAZON.COM SERVICES LLC - WND3,210 64TH STREET SE,MINOT,ND,58701,CWA,No,,493110
AMAZON.COM SERVICES LLC - WND4,1150 S 46TH STREET,GRAND FORKS,ND,58201,CWA,No,,493110
AMAZON.COM SERVICES LLC - WND6,10863 29 P STREET SW,DICKINSON,ND,58601,CWA,No,,493110
"AMAZON.COM SERVICES, LLC",1150 S 46TH ST,UNKNOWN,ND,58000,CWA,No,,
"AMBER WAVES, INC.",120 11TH AVE WEST,RICHARDTON,ND,58652,CWA,No,04/03/2025,332420
AMERICAN COLLOID CO GASCOYNE,9005 129TH AVE SW,SCRANTON,ND,58653,CWA,No,03/02/2022,212319
AMERICAN COLLOID CO-GASCOYNE PLANT,9005 129TH AVE SW,SCRANTON,ND,58653,CWA,Yes,03/02/2022,
AMERICAN CRYSTAL SUGAR CO,"8152 OLD HWY 44 DRAYTON, ND",UNKNOWN,ND,58000,CWA,No,08/20/2025,
AMERICAN CRYSTAL SUGAR CO.,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
AMERICAN CRYSTAL SUGAR COMPANY,81ST STREET NE (WEST OF OLD ND HWY 44),UNKNOWN,ND,58000,CWA,No,,
AMERICAN CRYSTAL SUGAR COMPANY,14749 HWY 66,UNKNOWN,ND,58000,CWA,No,,
AMERICAN CRYSTAL SUGAR COMPANY,8152 OLD HWY 44,DRAYTON,ND,58225,CWA,No,08/20/2025,
AMERICAN CRYSTAL SUGAR COMPANY,8152 OLD HIGHWAY 44,UNKNOWN,ND,58000,CWA,No,08/20/2025,
AMERICAN CRYSTAL SUGAR COMPANY - LYNCHBERG PILING,3615 153RD AVE. SE,CASSELTON,ND,58012,CWA,No,,311313
AMERICAN ENTERPRISES INC,26TH ST. NW,WEST FARGO,ND,58078,CWA,No,,
"AMERICAN MIDSTREAM PARTNERS, LP",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
AMES CONSTRUCTION FOR BNSF RAILWAY COMPANY,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
AMES SAVAGE WATER SOLUTIONS LLC,5039 141ST AVE NW,WILLISTON,ND,58801,CWA,No,,488999
AMES SAVAGE WATER SOLUTIONS LLC,5039 141ST AVE NW,WILLISTON,ND,58801,CWA,No,,
"AMES SAVAGE WATER SOLUTIONS, LLC",HWY 2 & 94TH AVE NW,UNKNOWN,ND,58000,CWA,No,,
ANDEAVOR FIELD SERVICES LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ANDEAVOR FIELD SERVICES LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ANDEAVOR FIELD SERVICES LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,05/26/2021,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR FIELD SERVICES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR LOGISTICS GP, LLC",3726 135TH AVE SW,UNKNOWN,ND,58000,CWA,No,,
ANDEAVOR LOGISTICS LP,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ANDEAVOR LOGISTICS, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ANDERSON INDUSTRIES LLC,200 4TH AVENUE SOUTHEAST,MAPLETON,ND,58059,CWA,No,,
"ANDERSON WESTERN INC-BASE 2, UNIT 300 PORTABLE",1701 YEGEN RD,BISMARCK,ND,58502,CWA,Yes,,
"APERGY ESP SYSTEMS, LLC",10871 29P STREET SOUTHWEST,DICKINSON,ND,58601,CWA,No,,
APEX DEVELOPMENT COMPANY LLC - BIG WHEELS TRUCK WASH,3350 42ND STREET,GRAND FORKS,ND,58201,CWA,No,,
APLD ELN-01 LLC,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
APLD HOSTING LLC - JAMESTOWN DATA PROJECT,"3811 TURTLE CREEK BLVD, SUITE 2100",DALLAS,ND,75219,CWA,No,10/13/2025,
AQUASOURCE HOLDINGS LLC; TIOGA WATER RECLAMATION FACILITY,EAST OF CITY OF TIOGA LAGOONS,TIOGA,ND,58852,CWA,No,07/09/2020,
ARCHER DANIELS MIDLAND CO,2764 HWY 200A,UNKNOWN,ND,58000,CWA,No,,
ARCHER DANIELS MIDLAND CO,5539 136TH AVE SE,UNKNOWN,ND,58000,CWA,No,,
ARCHER DANIELS MIDLAND CO.,5500 136TH AVE SE,UNKNOWN,ND,58000,CWA,No,,
ARCHER DANIELS MIDLAND COMPANY,1804 FRONT STREET,UNKNOWN,ND,58000,CWA,No,,
ARDENT MILLS LLC,9345 HWY 127,FAIMOUNT,ND,58030,CWA,No,,
"ARDENT MILLS, LLC - FAIRMOUNT",9345 HIGHWAY 127,FAIRMOUNT,ND,58030,CWA,Yes,,311211
"AREO-TECH SOLUTIONS, LLC",GRAND FORKS AIR FORCE BASE,UNKNOWN,ND,58000,CWA,No,,
"ARIZONA, LLC",3442 EAST CENTURY AVENUE,UNKNOWN,ND,58000,CWA,No,,
"ARNEGARD HOLDINGS, LLC",P.O. BOX 2802,WATERFORD,ND,58854,CWA,No,08/27/2014,
ARNT CONSTRUCTION CO - KMM/ARNT MOUNTRAIL CO SITE,57ST NW AND 96TH AVE NW,ROSS,ND,58776,CWA,No,12/14/2023,
ARNT CONSTRUCTION COMPANY,13195 62TH STREET NW,WILDROSE,ND,58795,CWA,No,08/19/2021,
ARROW ELECTRIC PROPERTIES LLC,"25TH M ST., ARNEGARD, ND",UNKNOWN,ND,58000,CWA,No,,
"ARROW MIDSTREAM HOLDINGS, LLC",10702 HIGHWAY 73,KEENE,ND,58847,CWA,No,,
ARROW PIPELINE LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ARROW PIPELINE LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ARROW PIPELINE LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ARROW PIPELINE LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"ARROW PIPELINE, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
ASC CONSTRUCTION EQUIPMENT USA INC,"5837 JEFFERSON LN, WILLISTON",UNKNOWN,ND,58000,CWA,No,05/20/2019,
ASPIRE HOMES INC,902 SUNFLOWER LANE MANDAN,UNKNOWN,ND,58000,CWA,No,,
"ASPIRE HOMES, INC.",2498 LABRADOR DRIVE,UNKNOWN,ND,58000,CWA,No,,
"ASPIRE HOMES, INC.",6619 SELLAND LOOP,UNKNOWN,ND,58000,CWA,No,,
"ASPIRE HOMES, INC.",4025 SANTA MARIA LANE,UNKNOWN,ND,58000,CWA,No,,
"ASPIRE HOMES, INC.",4235 BRITANNIC LANE,UNKNOWN,ND,58000,CWA,No,,
"ASPIRE HOMES, INC.",4614 CROWN POINT ROAD,UNKNOWN,ND,58000,CWA,No,,
"ASPIRE HOMES, INC.",3721 GALE CIRCLE SE,UNKNOWN,ND,58000,CWA,No,,
"ASPIRE HOMES, INC.",833 PARKER RANCH ROAD,UNKNOWN,ND,58000,CWA,No,,
"ASPIRE HOMES, INC.",7859 SCENIC HILLS ROAD,UNKNOWN,ND,58000,CWA,No,,
"ASPIRE HOMES, INC.",4511 FERNWOOD  DRIVE,UNKNOWN,ND,58000,CWA,No,,
"ASPIRE HOMES, INC.",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
