facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code
1000 7TH ST NE,1000 7TH ST NE,WEST,ND,58078,CWA,No,,
1128 BISMARCK LLC,"1110, 1122, AND 1128 WEST TURNPIKE AVE.",UNKNOWN,ND,58000,CWA,No,05/24/2018,
11TH AVE NW WATERMAIN REPLACEMENT,11TH AVE NW,MINOT,ND,58701,CWA,No,,
13-MILE LANDFILL - SECURE WASTE INFRASTRUCTURE USA LLC,13809 66TH ST NW,WILLISTON,ND,58801,CWA,Yes,06/25/2024,562212
13TH STREET SOUTHEAST URBAN RECONSTRUCTION,13TH ST SE AND 21ST AVE SE,MINOT,ND,8701,CWA,No,08/13/2013,
"1492, INC.",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
1506 S WASHINGTON STREET,1506 SOUTH WASHINGTON STREET,GRAND FORKS,ND,58201,CWA,No,,
161 COMMERCIAL LLC,2500 CENTENNIAL RD,UNKNOWN,ND,58000,CWA,No,,
16TH CROSSING LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"1804 LTD., LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
1804 OPERATING,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
1804 OPERATING,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
1804 OPERATING,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"1804 OPERATING, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"188 W. MUSEUM DRIVE, DICKINSON",188 W MUSEUM DR,DICKINSON,ND,58601,CWA,No,,
19(89)19 GILSTAD BORROW,COUNTY ROAD 19,NEW TOWN,ND,58763,CWA,No,,
19(89)19 MOUNTRAIL COUNTY ROUTE 19,8902 37TH ST NW,NEW TOWN,ND,58763,CWA,No,,
19(89)19 STARR BORROW,COUNTY ROAD 19,NEW TOWN,ND,58763,CWA,No,,
2 VETS MOVING COMPANY,5124 MIDWEST DRIVE,UNKNOWN,ND,58000,CWA,No,,
"2015 GRAND FORKS, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
2018 MAIN STREET PROJECT,MAIN STREET,PARSHALL,ND,58770,CWA,No,,
2019-01,16616 COUNTY ROAD 10,MAPLETON,ND,58059,CWA,No,,
"2022 BISMARCK, LLC",1605 NORTHERN PLAINS DR,UNKNOWN,ND,58000,CWA,No,,
2024 CRARY PARK IMPROVEMENTS,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
2024 STREET IMPROVEMENTS CITY OF PARSHALL,MAIN STREET,PARSHALL,ND,58770,CWA,No,,
2024 TAXIWAY C PAVEMENT REHABILITATION AND EDGE LIGHTING REPLACEMENT AT MOT,305 AIRPORT ROAD,MINOT,ND,58703,CWA,No,,
2025 ALEXANDER STREET PROJECT (34.252017),112 MANNING AVE,ALEXANDER,ND,58831,CWA,No,,
2025 STREET & STORM SEWER IMPROVEMENT,6703 HWY 2 & 52 WEST,MINOT,ND,58703,CWA,No,,
2025 WATERMAIN REPLACEMENT,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
2026 STREET IMPROVEMENT,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
21(92)22 - COUNTY ROUTE 21,"3 MILES SOUTH OF SANISH, ND ON HIGHWAY 21",SANISH,ND,58763,CWA,No,,
210 CONSTRUCTION LLP,701 PRAIRIE AVENUE,UNKNOWN,ND,58000,CWA,No,,
"2112, LLC",6033 78TH AVE S,UNKNOWN,ND,58000,CWA,No,,
"2112, LLC",6021 78TH AVE S,UNKNOWN,ND,58000,CWA,No,,
"2112, LLC",6037 78TH AVE S,UNKNOWN,ND,58000,CWA,No,,
"2112, LLC",6025 78TH AVE S,UNKNOWN,ND,58000,CWA,No,,
"220 WEST, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
22052 NH-SS-1-006(025)022 ND6,ND 6,SOLEN,ND,58570,CWA,No,,
22206 SS-1-006(024)011,ND6,SELFRIDGE,ND,58568,CWA,No,,
22207 NH-SS-1-006(025)022 ND6,ND HWY 6,SOLEN,ND,58570,CWA,No,,
23102 - MAIN PROJECT,PO BOX 228,OSLO,ND,56744,CWA,No,,
23102 - PLANTSITE,PO BOX 228,OSLO,ND,56744,CWA,No,,
