covered_entity_name,state,covered_entity_type,breach_type,location_of_breached_info,individuals_affected,breach_submission_date,business_associate_present,outreach_priority
"Change Healthcare, Inc.",MN,Business Associate,Hacking/IT Incident,Network Server,192700000,07/19/2024,Yes,HIGH
Conduent Business Services LLC,NJ,Business Associate,Hacking/IT Incident,Network Server,62224658,10/08/2025,Yes,HIGH
Aflac Incorporated (“Aflac”),GA,Health Plan,Hacking/IT Incident,Network Server,13924906,08/08/2025,No,HIGH
"Episource, LLC",CA,Business Associate,Hacking/IT Incident,Network Server,6725572,06/06/2025,Yes,HIGH
Ascension Health,MO,Healthcare Provider,Hacking/IT Incident,Network Server,5466931,07/03/2024,No,HIGH
"HealthEquity, Inc.",UT,Business Associate,Hacking/IT Incident,Network Server,4300000,08/09/2024,Yes,HIGH
TriZetto Provider Solutions,MO,Business Associate,Hacking/IT Incident,Network Server,3433965,02/06/2026,Yes,HIGH
"QualDerm Partners, LLC",TN,Healthcare Provider,Hacking/IT Incident,Network Server,3117874,02/22/2026,No,HIGH
"PIH Health, Inc.",CA,Healthcare Provider,Hacking/IT Incident,Network Server,2947264,01/31/2025,No,HIGH
"Acadian Ambulance Service, Inc.",LA,Healthcare Provider,Hacking/IT Incident,Network Server,2896985,08/20/2024,No,HIGH
DaVita Inc.,CO,Healthcare Provider,Hacking/IT Incident,Network Server,2689826,08/01/2025,No,HIGH
Veradigm LLC,IL,Business Associate,Hacking/IT Incident,Network Server,2672036,09/22/2025,Yes,HIGH
Nacogdoches Memorial Hospital n,TX,Healthcare Provider,Hacking/IT Incident,Network Server,2507073,03/30/2026,No,HIGH
"Navia Benefit Solutions, Inc.",WA,Business Associate,Hacking/IT Incident,"Network Server, Other",2151330,03/18/2026,Yes,HIGH
Anne Arundel Dermatology,MD,Healthcare Provider,Hacking/IT Incident,Network Server,1905000,07/11/2025,No,HIGH
"Summit Pathology and Summit Pathology Laboratories, Inc.",CO,Healthcare Provider,Hacking/IT Incident,Network Server,1813538,10/18/2024,No,HIGH
